,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
145,25 to 34 years,18138,40575,49071,15364,31895,38574,Total,2009
146,35 to 44 years,17891,58604,70875,15256,38511,46575,Total,2009
147,45 to 54 years,18526,62787,75934,17188,40281,48715,Total,2009
148,55 to 64 years,12260,61267,74096,11482,38739,46851,Total,2009
149,65 years and over,4181,45840,55438,3457,27511,33272,Total,2009
154,Total,82727,51148,61643,73263,32922,39677,Total,2008
155,18 to 24 years,10430,17271,20815,9665,14245,17168,Total,2008
156,25 to 34 years,18530,42025,50648,15517,31511,37977,Total,2008
157,35 to 44 years,18665,59620,71853,15970,37900,45677,Total,2008
158,45 to 54 years,18816,64081,77229,17450,38341,46208,Total,2008
159,55 to 64 years,12107,63071,76012,11229,37875,45646,Total,2008
160,65 years and over,4179,45551,54897,3432,24976,30101,Total,2008
165,Total,82933,50110,62712,72805,32899,41172,Total,2007
166,18 to 24 years,10717,17391,21764,9502,14094,17638,Total,2007
167,25 to 34 years,18281,41523,51965,15496,32431,40587,Total,2007
168,35 to 44 years,19108,58886,73694,16417,37172,46520,Total,2007
169,45 to 54 years,18996,61498,76963,17201,39529,49470,Total,2007
170,55 to 64 years,11895,61469,76927,10890,35829,44839,Total,2007
171,65 years and over,3936,47187,59053,3300,23747,29719,Total,2007
176,Total,82310,49647,63894,72129,32015,41202,Total,2006
177,18 to 24 years,10653,17351,22330,9717,13538,17423,Total,2006
178,25 to 34 years,18393,40927,52672,15243,30952,39834,Total,2006
179,35 to 44 years,19430,58804,75679,16569,36688,47216,Total,2006
180,45 to 54 years,18745,62980,81053,17240,38224,49193,Total,2006
181,55 to 64 years,11375,59235,76234,10323,35855,46144,Total,2006
182,65 years and over,3714,40911,52651,3037,22669,29174,Total,2006
187,Total,81259,48034,63822,70956,29897,39724,Total,2005
188,18 to 24 years,10629,17052,22657,9672,12739,16926,Total,2005
189,25 to 34 years,18089,38701,51421,14953,28321,37630,Total,2005
190,35 to 44 years,19575,54786,72793,16687,34331,45615,Total,2005
191,45 to 54 years,18490,61744,82038,16906,36081,47940,Total,2005
192,55 to 64 years,10928,58461,77676,9970,33518,44535,Total,2005
193,65 years and over,3549,47628,63283,2768,20818,27661,Total,2005
198,Total,79776,45989,63175,70320,28722,39455,Total,2004
199,18 to 24 years,10456,16613,22821,9766,12314,16916,Total,2004
200,25 to 34 years,17901,37544,51574,14859,27764,38139,Total,2004
201,35 to 44 years,19540,54181,74428,16923,32630,44824,Total,2004
202,45 to 54 years,18062,57904,79542,16579,34929,47982,Total,2004
203,55 to 64 years,10313,56629,77791,9339,31766,43637,Total,2004
204,65 years and over,3504,38362,52698,2853,20671,28396,Total,2004
209,Total,78869,44726,63100,69790,28367,40020,Total,2003
210,18 to 24 years,10642,15060,21247,9702,11913,16807,Total,2003
211,25 to 34 years,17783,37419,52791,15007,28228,39824,Total,2003
212,35 to 44 years,19573,51680,72910,17008,31882,44979,Total,2003
213,45 to 54 years,17607,56699,79991,16428,34342,48450,Total,2003
214,55 to 64 years,9949,56991,80403,8886,31903,45009,Total,2003
215,65 years and over,3316,37697,53183,2758,18362,25905,Total,2003
220,Total,78757,44310,63933,69735,27271,39348,Total,2002
221,18 to 24 years,10604,15450,22292,9733,12404,17897,Total,2002
222,25 to 34 years,17913,37384,53939,15183,26796,38663,Total,2002
223,35 to 44 years,19938,52243,75379,17502,30252,43649,Total,2002
224,45 to 54 years,17429,56922,82130,16201,32987,47595,Total,2002
225,55 to 64 years,9688,52650,75966,8620,30841,44499,Total,2002
226,65 years and over,3184,35294,50924,2496,17786,25662,Total,2002
231,Total,78342,43648,63970,69488,26962,39515,Total,2001
232,18 to 24 years,10905,15072,22089,10020,13107,19209,Total,2001
233,25 to 34 years,17911,36731,53833,15374,27297,40006,Total,2001
234,35 to 44 years,20125,51887,76045,17834,30030,44012,Total,2001
235,45 to 54 years,17207,55787,81761,15855,32296,47333,Total,2001
236,55 to 64 years,9086,53345,78182,8033,28965,42451,Total,2001
237,65 years and over,3109,34867,51101,2372,17815,26109,Total,2001
242,Total,78319,42772,64471,69647,25228,38027,Total,2000
243,18 to 24 years,10957,15073,22720,10308,11776,17750,Total,2000
244,25 to 34 years,17982,36968,55722,15733,25490,38421,Total,2000
245,35 to 44 years,20552,49713,74933,18137,29149,43937,Total,2000
246,45 to 54 years,16943,56327,84903,15647,30688,46256,Total,2000
247,55 to 64 years,8625,51151,77101,7433,25602,38590,Total,2000
248,65 years and over,3261,31518,47508,2389,14852,22387,Total,2000
253,Total,77118,40222,62684,69094,23584,36755,Total,1999
254,18 to 24 years,10684,13251,20651,10058,10601,16521,Total,1999
255,25 to 34 years,18114,34905,54398,15872,23841,37155,Total,1999
256,35 to 44 years,20397,46222,72035,18241,26626,41496,Total,1999
257,45 to 54 years,16346,53151,82834,15311,28671,44683,Total,1999
258,55 to 64 years,8315,49534,77197,7220,25894,40355,Total,1999
259,65 years and over,3262,32032,49921,2392,13743,21418,Total,1999
264,Total,75213,38134,60696,66840,22818,36318,Total,1998
265,18 to 24 years,10585,14125,22482,9890,10303,16399,Total,1998
266,25 to 34 years,17686,33053,52609,15646,22343,35562,Total,1998
267,35 to 44 years,20527,43924,69912,18058,26614,42360,Total,1998
268,45 to 54 years,15453,49544,78857,14187,28112,44744,Total,1998
269,55 to 64 years,8057,47287,75264,6813,23545,37475,Total,1998
270,65 years and over,2905,29564,47056,2247,15076,23996,Total,1998
275,Total,74596,36556,58972,65771,21528,34729,Total,1997
276,18 to 24 years,10303,12619,20357,9637,9816,15835,Total,1997
277,25 to 34 years,18369,30732,49577,15859,21515,34708,Total,1997
278,35 to 44 years,20343,42195,68069,17820,24818,40036,Total,1997
279,45 to 54 years,15048,48136,77653,13670,26637,42971,Total,1997
280,55 to 64 years,7799,47600,76788,6597,22121,35686,Total,1997
281,65 years and over,2735,28705,46307,2188,12695,20480,Total,1997
286,Total,73955,34705,57196,64748,20570,33901,Total,1996
287,18 to 24 years,10289,11473,18908,9504,9226,15205,Total,1996
288,25 to 34 years,18711,29127,48004,15929,20173,33247,Total,1996
289,35 to 44 years,20064,41533,68450,17601,24239,39948,Total,1996
290,45 to 54 years,14573,47171,77741,13226,25204,41538,Total,1996
291,55 to 64 years,7486,41855,68980,6360,20732,34168,Total,1996
292,65 years and over,2833,24534,40434,2128,14559,23994,Total,1996
297,Total,72634,33251,56260,63587,19414,32848,Total,1995
298,18 to 24 years,10228,11488,19437,9337,8732,14774,Total,1995
299,25 to 34 years,18870,27991,47360,16160,19245,32562,Total,1995
300,35 to 44 years,19615,40111,67866,17387,22741,38477,Total,1995
301,45 to 54 years,13738,45153,76397,12587,23740,40167,Total,1995
302,55 to 64 years,7319,39354,66586,6019,20729,35073,Total,1995
303,65 years and over,2863,25959,43922,2096,10940,18510,Total,1995
308,Total,72246,32087,55598,62850,18684,32374,Total,1994
309,18 to 24 years,10486,10706,18551,9482,8687,15052,Total,1994
310,25 to 34 years,19126,26907,46622,16233,18534,32114,Total,1994
311,35 to 44 years,19281,38625,66927,16931,22314,38664,Total,1994
312,45 to 54 years,13517,44741,77524,12196,23123,40066,Total,1994
313,55 to 64 years,7083,39360,68200,5952,18373,31835,Total,1994
