,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
995,35 to 44 years,1550,23282,38371,944,13225,21796,Less than 9th grade,1996
996,45 to 54 years,986,29405,48462,794,13175,21713,Less than 9th grade,1996
997,55 to 64 years,637,29539,48683,635,13777,22706,Less than 9th grade,1996
998,65 years and over,276,13118,21619,296,7931,13071,Less than 9th grade,1996
1003,Total,6849,17267,29215,4901,9824,16622,Less than 9th grade,1995
1004,18 to 24 years,1853,7153,12103,1284,5195,8790,Less than 9th grade,1995
1005,25 to 34 years,1782,17147,29012,1017,9496,16067,Less than 9th grade,1995
1006,35 to 44 years,1381,22931,38798,972,12818,21688,Less than 9th grade,1995
1007,45 to 54 years,869,23691,40084,764,13290,22486,Less than 9th grade,1995
1008,55 to 64 years,673,27027,45729,552,12521,21185,Less than 9th grade,1995
1009,65 years and over,291,13785,23324,312,7367,12465,Less than 9th grade,1995
1014,Total,6550,16210,28088,4724,9271,16064,Less than 9th grade,1994
1015,18 to 24 years,1818,7119,12335,1214,4364,7562,Less than 9th grade,1994
1016,25 to 34 years,1620,16216,28098,979,9224,15983,Less than 9th grade,1994
1017,35 to 44 years,1275,19875,34438,952,11326,19625,Less than 9th grade,1994
1018,45 to 54 years,876,23615,40918,786,13117,22728,Less than 9th grade,1994
1019,55 to 64 years,668,25451,44100,567,12364,21423,Less than 9th grade,1994
1020,65 years and over,293,13394,23208,226,6039,10464,Less than 9th grade,1994
1025,Total,6675,15497,27413,4627,9841,17408,Less than 9th grade,1993
1026,18 to 24 years,1721,6602,11678,1181,4425,7827,Less than 9th grade,1993
1027,25 to 34 years,1847,15445,27321,1001,8724,15432,Less than 9th grade,1993
1028,35 to 44 years,1169,20032,35435,834,10495,18565,Less than 9th grade,1993
1029,45 to 54 years,868,22041,38989,800,12688,22444,Less than 9th grade,1993
1030,55 to 64 years,768,22897,40503,591,18693,33066,Less than 9th grade,1993
1031,65 years and over,303,11311,20008,219,7365,13028,Less than 9th grade,1993
1036,Total,7000,15054,27301,4580,9474,17181,Less than 9th grade,1992
1037,18 to 24 years,1970,6773,12283,1061,4961,8997,Less than 9th grade,1992
1038,25 to 34 years,1772,15112,27406,1031,10051,18228,Less than 9th grade,1992
1039,35 to 44 years,1229,18353,33283,862,10016,18164,Less than 9th grade,1992
1040,45 to 54 years,970,22319,40476,824,13500,24482,Less than 9th grade,1992
1041,55 to 64 years,783,22871,41477,559,11042,20025,Less than 9th grade,1992
1042,65 years and over,276,11384,20645,243,7546,13685,Less than 9th grade,1992
1047,Total,7044,15589,28974,5012,9065,16848,Less than 9th grade,1991
1048,18 to 24 years,1737,6944,12906,1168,4984,9263,Less than 9th grade,1991
1049,25 to 34 years,1768,14963,27810,1115,8536,15865,Less than 9th grade,1991
1050,35 to 44 years,1274,19270,35815,969,10390,19311,Less than 9th grade,1991
1051,45 to 54 years,1001,22091,41058,863,12855,23892,Less than 9th grade,1991
1052,55 to 64 years,917,23399,43490,641,10810,20092,Less than 9th grade,1991
1053,65 years and over,347,9153,17012,254,7806,14508,Less than 9th grade,1991
1059,Total,24995,45276,45276,17245,31123,31123,Less than 9th grade,2020
1060,18 to 24 years,3675,25114,25114,2656,18096,18096,Less than 9th grade,2020
1061,25 to 34 years,5786,40617,40617,3305,28293,28293,Less than 9th grade,2020
1062,35 to 44 years,4834,50070,50070,2973,32728,32728,Less than 9th grade,2020
1063,45 to 54 years,4637,54304,54304,3275,37042,37042,Less than 9th grade,2020
1064,55 to 64 years,4414,52104,52104,3523,37157,37157,Less than 9th grade,2020
1065,65 years and over,1649,48845,48845,1513,30154,30154,Less than 9th grade,2020
1070,Total,24980,45188,45752,17618,31123,31512,Less than 9th grade,2019
1071,18 to 24 years,3534,23863,24161,2538,18434,18664,Less than 9th grade,2019
1072,25 to 34 years,5742,39297,39788,3329,27228,27568,Less than 9th grade,2019
1073,35 to 44 years,4881,50686,51319,3121,33303,33718,Less than 9th grade,2019
1074,45 to 54 years,4623,53244,53909,3464,34136,34562,Less than 9th grade,2019
1075,55 to 64 years,4479,55939,56637,3746,39187,39676,Less than 9th grade,2019
1076,65 years and over,1722,43427,43969,1419,29519,29888,Less than 9th grade,2019
1081,Total,24993,45259,46654,17890,30103,31031,Less than 9th grade,2018
1082,18 to 24 years,3539,24852,25618,2676,17914,18466,Less than 9th grade,2018
1083,25 to 34 years,5668,41218,42489,3429,25589,26378,Less than 9th grade,2018
1084,35 to 44 years,4898,49006,50517,2986,31797,32777,Less than 9th grade,2018
1085,45 to 54 years,4956,52958,54591,3610,35219,36305,Less than 9th grade,2018
1086,55 to 64 years,4449,55178,56879,3667,38229,39408,Less than 9th grade,2018
1087,65 years and over,1483,41529,42809,1523,26659,27481,Less than 9th grade,2018
1092,Total,25056,43886,46342,17684,29675,31335,Less than 9th grade,2017
1093,18 to 24 years,3706,23268,24570,2476,18054,19064,Less than 9th grade,2017
1094,25 to 34 years,5585,37702,39812,3281,25558,26988,Less than 9th grade,2017
1095,35 to 44 years,4709,50255,53067,2967,32795,34630,Less than 9th grade,2017
1096,45 to 54 years,5157,49936,52730,3785,33926,35824,Less than 9th grade,2017
1097,55 to 64 years,4447,55802,58924,3777,35223,37194,Less than 9th grade,2017
1098,65 years and over,1452,41657,43988,1398,26794,28293,Less than 9th grade,2017
1103,Total,25138,44466,46954,17679,29158,30790,Less than 9th grade,2017
1104,18 to 24 years,3752,25027,26427,2501,15964,16857,Less than 9th grade,2017
1105,25 to 34 years,5570,38335,40480,3278,25569,27000,Less than 9th grade,2017
1106,35 to 44 years,4734,51445,54324,2974,31943,33730,Less than 9th grade,2017
1107,45 to 54 years,5157,51009,53863,3749,34062,35968,Less than 9th grade,2017
1108,55 to 64 years,4453,55794,58916,3788,35259,37232,Less than 9th grade,2017
1109,65 years and over,1471,37576,39679,1388,25544,26973,Less than 9th grade,2017
1114,Total,24909,43534,46959,17989,27242,29385,Less than 9th grade,2016
1115,18 to 24 years,3526,23530,25381,2565,15961,17217,Less than 9th grade,2016
1116,25 to 34 years,5514,37734,40702,3451,23809,25682,Less than 9th grade,2016
1117,35 to 44 years,4684,49638,53543,2979,28015,30219,Less than 9th grade,2016
1118,45 to 54 years,5343,51003,55015,3908,31484,33961,Less than 9th grade,2016
1119,55 to 64 years,4390,51315,55352,3665,33881,36546,Less than 9th grade,2016
1120,65 years and over,1452,43440,46857,1420,25538,27547,Less than 9th grade,2016
1125,Total,24648,41942,45825,17757,26832,29316,Less than 9th grade,2015
1126,18 to 24 years,3697,20615,22523,2570,14861,16237,Less than 9th grade,2015
1127,25 to 34 years,5355,39984,43686,3217,24824,27122,Less than 9th grade,2015
1128,35 to 44 years,4726,47427,51818,3014,28777,31441,Less than 9th grade,2015
1129,45 to 54 years,5240,49439,54016,3939,32749,35781,Less than 9th grade,2015
1130,55 to 64 years,4226,48846,53368,3714,30417,33233,Less than 9th grade,2015
1131,65 years and over,1404,38355,41906,1303,22801,24912,Less than 9th grade,2015
1136,Total,24468,39874,43640,18061,26275,28757,Less than 9th grade,2014
1137,18 to 24 years,3496,20731,22689,2646,14191,15531,Less than 9th grade,2014
1138,25 to 34 years,5248,35082,38396,3071,23771,26016,Less than 9th grade,2014
1139,35 to 44 years,4782,44469,48669,3166,28827,31550,Less than 9th grade,2014
1140,45 to 54 years,5440,48012,52547,4164,30929,33851,Less than 9th grade,2014
1141,55 to 64 years,4088,46972,51409,3611,30860,33775,Less than 9th grade,2014
1142,65 years and over,1415,37631,41186,1403,23165,25353,Less than 9th grade,2014
1147,Total,24550,38409,42749,18054,25523,28407,Less than 9th grade,2013
1148,18 to 24 years,3744,20990,23362,2422,14454,16087,Less than 9th grade,2013
1149,25 to 34 years,5040,35449,39454,2969,21581,24019,Less than 9th grade,2013
1150,35 to 44 years,4961,43645,48577,3418,26637,29647,Less than 9th grade,2013
1151,45 to 54 years,5531,47106,52429,4354,28370,31576,Less than 9th grade,2013
1152,55 to 64 years,3893,42860,47703,3432,31229,34758,Less than 9th grade,2013
1153,65 years and over,1381,30244,33661,1457,27400,30496,Less than 9th grade,2013
1158,Total,24327,37763,42030,18106,26322,29296,Less than 9th grade,2013
1159,18 to 24 years,3377,20044,22309,2454,14326,15945,Less than 9th grade,2013
1160,25 to 34 years,5268,32016,35634,2993,25232,28083,Less than 9th grade,2013
1161,35 to 44 years,4720,42756,47587,3160,26700,29717,Less than 9th grade,2013
1162,45 to 54 years,5390,44525,49556,4389,31182,34705,Less than 9th grade,2013
1163,55 to 64 years,4188,46206,51427,3676,30898,34389,Less than 9th grade,2013
1164,65 years and over,1385,33967,37805,1435,21687,24137,Less than 9th grade,2013
1169,Total,23783,38454,43433,18132,24991,28227,Less than 9th grade,2012
1170,18 to 24 years,3250,19085,21556,2290,13359,15089,Less than 9th grade,2012
1171,25 to 34 years,5134,33483,37818,3110,21754,24571,Less than 9th grade,2012
1172,35 to 44 years,4735,42935,48494,3347,26566,30006,Less than 9th grade,2012
1173,45 to 54 years,5450,45275,51137,4524,29429,33240,Less than 9th grade,2012
1174,55 to 64 years,3895,47416,53555,3545,29460,33275,Less than 9th grade,2012
1175,65 years and over,1319,34795,39300,1315,21571,24364,Less than 9th grade,2012
1180,Total,23801,38679,44613,18328,24460,28212,Less than 9th grade,2011
1181,18 to 24 years,3133,18380,21200,2380,12070,13922,Less than 9th grade,2011
1182,25 to 34 years,5204,32283,37235,3150,21644,24964,Less than 9th grade,2011
1183,35 to 44 years,4858,41825,48241,3394,26681,30774,Less than 9th grade,2011
1184,45 to 54 years,5700,46727,53895,4755,28623,33014,Less than 9th grade,2011
1185,55 to 64 years,3639,48379,55801,3442,28881,33311,Less than 9th grade,2011
1186,65 years and over,1267,39030,45017,1208,20990,24210,Less than 9th grade,2011
1191,Total,24076,36281,43166,18574,24153,28736,Less than 9th grade,2010
1192,18 to 24 years,3170,16643,19801,2231,11971,14243,Less than 9th grade,2010
1193,25 to 34 years,5133,32195,38304,3235,21142,25154,Less than 9th grade,2010
1194,35 to 44 years,5066,40197,47825,3595,26302,31293,Less than 9th grade,2010
1195,45 to 54 years,5900,44218,52609,4763,28557,33976,Less than 9th grade,2010
1196,55 to 64 years,3525,42984,51141,3560,27506,32726,Less than 9th grade,2010
1197,65 years and over,1283,30774,36614,1189,21025,25015,Less than 9th grade,2010
1202,Total,25143,35468,42895,19253,24304,29393,Less than 9th grade,2009
1203,18 to 24 years,3383,18550,22434,2470,13070,15807,Less than 9th grade,2009
1204,25 to 34 years,5502,31358,37924,3304,21103,25522,Less than 9th grade,2009
1205,35 to 44 years,5398,38269,46282,3818,27033,32693,Less than 9th grade,2009
1206,45 to 54 years,6280,42344,51210,5035,28290,34214,Less than 9th grade,2009
1207,55 to 64 years,3418,41527,50222,3479,27759,33571,Less than 9th grade,2009
1208,65 years and over,1162,36188,43765,1148,20656,24981,Less than 9th grade,2009
1213,Total,25291,36753,44294,19892,24329,29321,Less than 9th grade,2008
1214,18 to 24 years,3579,18053,21757,2511,13790,16620,Less than 9th grade,2008
1215,25 to 34 years,5705,32035,38608,3492,21998,26512,Less than 9th grade,2008
1216,35 to 44 years,5596,42283,50959,4060,25515,30750,Less than 9th grade,2008
1217,45 to 54 years,6107,44608,53761,5183,27854,33569,Less than 9th grade,2008
1218,55 to 64 years,3155,41896,50492,3408,29267,35272,Less than 9th grade,2008
1219,65 years and over,1149,35622,42931,1238,20025,24134,Less than 9th grade,2008
1224,Total,25396,36839,46103,19998,24234,30328,Less than 9th grade,2007
1225,18 to 24 years,3695,18779,23501,2575,13938,17443,Less than 9th grade,2007
1226,25 to 34 years,5613,32374,40515,3546,23614,29552,Less than 9th grade,2007
1227,35 to 44 years,5653,43460,54389,4208,26120,32689,Less than 9th grade,2007
1228,45 to 54 years,6208,43063,53892,5040,28554,35735,Less than 9th grade,2007
1229,55 to 64 years,3109,42857,53635,3403,26215,32807,Less than 9th grade,2007
1230,65 years and over,1119,34171,42764,1226,17929,22438,Less than 9th grade,2007
1235,Total,25489,37356,48076,20447,23236,29904,Less than 9th grade,2006
1236,18 to 24 years,3679,18869,24284,2696,13267,17074,Less than 9th grade,2006
1237,25 to 34 years,5722,33097,42595,3650,21157,27228,Less than 9th grade,2006
1238,35 to 44 years,6002,41810,53808,4536,26182,33695,Less than 9th grade,2006
1239,45 to 54 years,6003,46093,59320,5185,26845,34549,Less than 9th grade,2006
1240,55 to 64 years,2935,44823,57686,3206,25713,33092,Less than 9th grade,2006
1241,65 years and over,1148,29767,38309,1174,18501,23810,Less than 9th grade,2006
1246,Total,25349,35248,46834,20304,22208,29507,Less than 9th grade,2005
1247,18 to 24 years,3632,18590,24700,2767,12268,16300,Less than 9th grade,2005
1248,25 to 34 years,5586,31197,41451,3638,20099,26705,Less than 9th grade,2005
1249,35 to 44 years,6187,39027,51855,4668,24165,32108,Less than 9th grade,2005
1250,45 to 54 years,5735,42690,56722,5054,26720,35502,Less than 9th grade,2005
1251,55 to 64 years,3072,41716,55427,3111,25237,33532,Less than 9th grade,2005
1252,65 years and over,1136,32761,43529,1066,16414,21809,Less than 9th grade,2005
1257,Total,25186,34054,46780,20359,21954,30158,Less than 9th grade,2004
1258,18 to 24 years,3635,19161,26321,2713,12315,16917,Less than 9th grade,2004
1259,25 to 34 years,5552,30607,42045,3543,21279,29231,Less than 9th grade,2004
1260,35 to 44 years,6435,38618,53049,4926,23498,32279,Less than 9th grade,2004
1261,45 to 54 years,5742,40812,56063,5013,25601,35168,Less than 9th grade,2004
1262,55 to 64 years,2820,38928,53475,3088,23909,32844,Less than 9th grade,2004
1263,65 years and over,1001,25417,34915,1076,18815,25846,Less than 9th grade,2004
1268,Total,24292,33265,46930,20773,21659,30557,Less than 9th grade,2003
1269,18 to 24 years,3612,16919,23869,2783,12061,17016,Less than 9th grade,2003
1270,25 to 34 years,5376,30317,42771,3776,20032,28261,Less than 9th grade,2003
1271,35 to 44 years,6251,37583,53022,5043,23915,33739,Less than 9th grade,2003
1272,45 to 54 years,5354,40530,57180,5097,25043,35331,Less than 9th grade,2003
1273,55 to 64 years,2799,38830,54782,2978,25082,35386,Less than 9th grade,2003
1274,65 years and over,900,25985,36660,1096,16208,22866,Less than 9th grade,2003
1279,Total,24175,32673,47142,21233,21141,30503,Less than 9th grade,2002
1280,18 to 24 years,3617,17411,25121,2776,13364,19282,Less than 9th grade,2002
1281,25 to 34 years,5459,31094,44864,3955,19630,28323,Less than 9th grade,2002
1282,35 to 44 years,6356,36764,53045,5297,22454,32398,Less than 9th grade,2002
1283,45 to 54 years,5054,38153,55049,5080,24385,35184,Less than 9th grade,2002
1284,55 to 64 years,2722,37866,54635,3067,24703,35643,Less than 9th grade,2002
1285,65 years and over,967,28524,41156,1059,14717,21234,Less than 9th grade,2002
1290,Total,24239,32363,47431,21402,20489,30028,Less than 9th grade,2001
1291,18 to 24 years,3680,16829,24664,3000,12773,18720,Less than 9th grade,2001
1292,25 to 34 years,5298,28849,42281,3947,19545,28645,Less than 9th grade,2001
1293,35 to 44 years,6567,36543,53557,5561,22370,32785,Less than 9th grade,2001
1294,45 to 54 years,5113,39338,57653,5026,24321,35645,Less than 9th grade,2001
1295,55 to 64 years,2632,37484,54936,2915,21813,31969,Less than 9th grade,2001
1296,65 years and over,949,31525,46203,953,13454,19718,Less than 9th grade,2001
1301,Total,24439,31446,47399,21538,19162,28883,Less than 9th grade,2000
1302,18 to 24 years,3653,16918,25501,3050,11407,17194,Less than 9th grade,2000
1303,25 to 34 years,5676,29209,44027,4089,18752,28265,Less than 9th grade,2000
1304,35 to 44 years,6815,35976,54227,5669,21598,32555,Less than 9th grade,2000
1305,45 to 54 years,4729,37589,56658,4986,22656,34150,Less than 9th grade,2000
1306,55 to 64 years,2634,37298,56220,2804,19456,29326,Less than 9th grade,2000
1307,65 years and over,933,21191,31942,941,12024,18124,Less than 9th grade,2000
1312,Total,24456,30363,47320,22074,18112,28227,Less than 9th grade,1999
1313,18 to 24 years,3535,14982,23349,3048,10747,16749,Less than 9th grade,1999
1314,25 to 34 years,5851,28917,45066,4420,17355,27047,Less than 9th grade,1999
1315,35 to 44 years,6923,34277,53419,5994,19556,30477,Less than 9th grade,1999
1316,45 to 54 years,4640,36255,56502,4904,21665,33764,Less than 9th grade,1999
1317,55 to 64 years,2554,35062,54643,2756,20539,32009,Less than 9th grade,1999
1318,65 years and over,954,26577,41419,952,10783,16805,Less than 9th grade,1999
1323,Total,24155,28742,45747,21832,17898,28487,Less than 9th grade,1998
1324,18 to 24 years,3692,16507,26273,3072,10873,17306,Less than 9th grade,1998
1325,25 to 34 years,5734,27333,43505,4436,16538,26323,Less than 9th grade,1998
1326,35 to 44 years,7031,32080,51060,5943,19305,30727,Less than 9th grade,1998
1327,45 to 54 years,4326,34599,55069,4782,21150,33663,Less than 9th grade,1998
1328,55 to 64 years,2546,33012,52544,2695,20677,32911,Less than 9th grade,1998
1329,65 years and over,825,20945,33337,904,13716,21831,Less than 9th grade,1998
1334,Total,24152,28307,45665,21824,16906,27273,Less than 9th grade,1997
1335,18 to 24 years,3536,13787,22241,3030,9916,15997,Less than 9th grade,1997
1336,25 to 34 years,6176,25774,41579,4577,16054,25898,Less than 9th grade,1997
1337,35 to 44 years,6853,33152,53481,5998,18333,29575,Less than 9th grade,1997
1338,45 to 54 years,4163,35407,57119,4729,20266,32693,Less than 9th grade,1997
1339,55 to 64 years,2664,32969,53186,2617,19313,31156,Less than 9th grade,1997
1340,65 years and over,759,17533,28284,873,10432,16829,Less than 9th grade,1997
1345,Total,23966,27642,45556,21942,16161,26635,Less than 9th grade,1996
1346,18 to 24 years,3438,13127,21634,3024,9054,14922,Less than 9th grade,1996
1347,25 to 34 years,6067,24561,40478,4765,15041,24789,Less than 9th grade,1996
1348,35 to 44 years,6923,31949,52654,6038,18349,30241,Less than 9th grade,1996
1349,45 to 54 years,4162,35953,59253,4708,19336,31867,Less than 9th grade,1996
1350,55 to 64 years,2556,32380,53365,2559,17286,28489,Less than 9th grade,1996
1351,65 years and over,821,17993,29654,849,11194,18449,Less than 9th grade,1996
1356,Total,23473,26333,44555,21073,15970,27021,Less than 9th grade,1995
1357,18 to 24 years,3507,13292,22490,2716,8901,15060,Less than 9th grade,1995
1358,25 to 34 years,6158,24321,41150,4760,14968,25325,Less than 9th grade,1995
1359,35 to 44 years,6613,29631,50135,5873,17502,29613,Less than 9th grade,1995
1360,45 to 54 years,3972,32935,55725,4421,19125,32359,Less than 9th grade,1995
1361,55 to 64 years,2438,31741,53705,2538,18066,30567,Less than 9th grade,1995
1362,65 years and over,784,22387,37878,766,10356,17522,Less than 9th grade,1995
1367,Total,23418,25038,43384,21195,14955,25913,Less than 9th grade,1994
1368,18 to 24 years,3664,12437,21550,2800,8824,15290,Less than 9th grade,1994
1369,25 to 34 years,6653,23176,40158,5216,14743,25546,Less than 9th grade,1994
1370,35 to 44 years,6220,28492,49369,5613,16148,27980,Less than 9th grade,1994
1371,45 to 54 years,3841,33247,57608,4272,18276,31667,Less than 9th grade,1994
1372,55 to 64 years,2260,30457,52774,2485,15566,26972,Less than 9th grade,1994
1373,65 years and over,780,16453,28509,809,9846,17060,Less than 9th grade,1994
1378,Total,23388,23973,42406,21391,14446,25554,Less than 9th grade,1993
1379,18 to 24 years,3574,11729,20748,2929,8771,15515,Less than 9th grade,1993
1380,25 to 34 years,6869,22359,39551,5303,13884,24560,Less than 9th grade,1993
1381,35 to 44 years,5945,27892,49338,5578,16437,29076,Less than 9th grade,1993
1382,45 to 54 years,3952,32276,57093,4197,17058,30174,Less than 9th grade,1993
1383,55 to 64 years,2307,26568,46996,2457,15456,27340,Less than 9th grade,1993
1384,65 years and over,741,14189,25099,927,9120,16132,Less than 9th grade,1993
1389,Total,23816,22811,41368,21783,14073,25522,Less than 9th grade,1992
1390,18 to 24 years,3543,11753,21314,2973,8985,16294,Less than 9th grade,1992
1391,25 to 34 years,7146,21203,38452,5616,13772,24976,Less than 9th grade,1992
1392,35 to 44 years,6081,26467,47998,5603,15746,28556,Less than 9th grade,1992
1393,45 to 54 years,3996,29628,53731,4239,16448,29829,Less than 9th grade,1992
1394,55 to 64 years,2312,25893,46957,2549,14381,26080,Less than 9th grade,1992
1395,65 years and over,739,14801,26842,802,9833,17832,Less than 9th grade,1992
1400,Total,24110,22663,42122,22393,13523,25134,Less than 9th grade,1991
1401,18 to 24 years,3540,11805,21941,3121,8915,16569,Less than 9th grade,1991
1402,25 to 34 years,7612,21175,39356,6041,13183,24502,Less than 9th grade,1991
1403,35 to 44 years,5903,25912,48160,5673,15297,28431,Less than 9th grade,1991
1404,45 to 54 years,3952,28955,53816,4180,15970,29682,Less than 9th grade,1991
1405,55 to 64 years,2331,27752,51580,2586,13656,25381,Less than 9th grade,1991
1406,65 years and over,772,14686,27295,791,8211,15261,Less than 9th grade,1991
1412,Total,14216,49611,49611,13278,32241,32241,"Some College, No Degree",2020
1413,18 to 24 years,2858,19315,19315,3294,14987,14987,"Some College, No Degree",2020
1414,25 to 34 years,3382,43477,43477,2689,30711,30711,"Some College, No Degree",2020
1415,35 to 44 years,2616,63635,63635,2149,37034,37034,"Some College, No Degree",2020
1416,45 to 54 years,2171,61759,61759,2188,41581,41581,"Some College, No Degree",2020
1417,55 to 64 years,2171,64295,64295,2023,44776,44776,"Some College, No Degree",2020
1418,65 years and over,1018,61801,61801,936,37436,37436,"Some College, No Degree",2020
1423,Total,14734,51020,51657,13944,34132,34558,"Some College, No Degree",2019
1424,18 to 24 years,3221,19549,19793,3430,15471,15665,"Some College, No Degree",2019
1425,25 to 34 years,3347,43542,44086,2810,31876,32274,"Some College, No Degree",2019
1426,35 to 44 years,2546,61888,62661,2257,41089,41602,"Some College, No Degree",2019
1427,45 to 54 years,2360,74738,75671,2311,47682,48277,"Some College, No Degree",2019
1428,55 to 64 years,2195,68737,69595,2188,45268,45833,"Some College, No Degree",2019
1429,65 years and over,1065,54633,55315,946,33034,33446,"Some College, No Degree",2019
1434,Total,15045,49094,50607,14272,30301,31235,"Some College, No Degree",2018
1435,18 to 24 years,3172,19719,20327,3629,15054,15518,"Some College, No Degree",2018
1436,25 to 34 years,3476,42974,44299,2871,28932,29824,"Some College, No Degree",2018
1437,35 to 44 years,2597,58199,59993,2153,37146,38291,"Some College, No Degree",2018
1438,45 to 54 years,2652,65454,67472,2307,41069,42335,"Some College, No Degree",2018
1439,55 to 64 years,2053,70707,72887,2321,39605,40826,"Some College, No Degree",2018
1440,65 years and over,1096,51884,53483,993,28381,29256,"Some College, No Degree",2018
1445,Total,15554,45513,48060,14490,30317,32013,"Some College, No Degree",2017
1446,18 to 24 years,3400,17117,18075,3762,14620,15438,"Some College, No Degree",2017
1447,25 to 34 years,3399,40740,43020,2980,28504,30099,"Some College, No Degree",2017
1448,35 to 44 years,2733,56319,59470,2354,35401,37382,"Some College, No Degree",2017
1449,45 to 54 years,2683,63115,66647,2357,40965,43257,"Some College, No Degree",2017
1450,55 to 64 years,2243,60316,63691,2159,40784,43066,"Some College, No Degree",2017
1451,65 years and over,1096,48081,50771,880,35751,37751,"Some College, No Degree",2017
1456,Total,15581,46780,49398,14467,29988,31666,"Some College, No Degree",2017
1457,18 to 24 years,3412,18353,19380,3777,14144,14935,"Some College, No Degree",2017
1458,25 to 34 years,3415,41677,44009,2949,29382,31026,"Some College, No Degree",2017
1459,35 to 44 years,2708,58314,61577,2350,34157,36068,"Some College, No Degree",2017
1460,45 to 54 years,2677,64823,68450,2356,39519,41730,"Some College, No Degree",2017
1461,55 to 64 years,2281,60443,63825,2159,41635,43965,"Some College, No Degree",2017
1462,65 years and over,1087,50192,53001,876,34832,36781,"Some College, No Degree",2017
1467,Total,15759,45312,48876,14972,29812,32157,"Some College, No Degree",2016
1468,18 to 24 years,3508,18986,20480,3853,13401,14455,"Some College, No Degree",2016
1469,25 to 34 years,3649,41118,44353,3114,28443,30680,"Some College, No Degree",2016
1470,35 to 44 years,2690,56893,61368,2313,35346,38126,"Some College, No Degree",2016
1471,45 to 54 years,2658,63248,68223,2543,40733,43937,"Some College, No Degree",2016
1472,55 to 64 years,2260,56931,61409,2266,42230,45552,"Some College, No Degree",2016
1473,65 years and over,994,47921,51691,882,28428,30664,"Some College, No Degree",2016
1478,Total,15665,43268,47274,15214,28798,31464,"Some College, No Degree",2015
1479,18 to 24 years,3438,15807,17270,3713,13292,14523,"Some College, No Degree",2015
1480,25 to 34 years,3420,40438,44182,3075,28162,30769,"Some College, No Degree",2015
1481,35 to 44 years,2776,55400,60529,2457,33274,36354,"Some College, No Degree",2015
1482,45 to 54 years,2729,59001,64463,2599,38710,42294,"Some College, No Degree",2015
1483,55 to 64 years,2427,55240,60354,2407,38575,42146,"Some College, No Degree",2015
1484,65 years and over,876,41472,45311,965,28011,30604,"Some College, No Degree",2015
1489,Total,15449,43113,47185,15046,27255,29829,"Some College, No Degree",2014
1490,18 to 24 years,3343,18178,19895,3783,12571,13758,"Some College, No Degree",2014
1491,25 to 34 years,3334,38855,42525,2951,25753,28186,"Some College, No Degree",2014
1492,35 to 44 years,2784,51791,56683,2495,32153,35190,"Some College, No Degree",2014
1493,45 to 54 years,2647,57631,63075,2612,37152,40661,"Some College, No Degree",2014
1494,55 to 64 years,2411,57929,63401,2323,36834,40313,"Some College, No Degree",2014
1495,65 years and over,930,42297,46292,883,26867,29405,"Some College, No Degree",2014
1500,Total,15767,42979,47835,14672,27515,30624,"Some College, No Degree",2013
1501,18 to 24 years,3448,20601,22929,3783,11889,13232,"Some College, No Degree",2013
1502,25 to 34 years,3413,35886,39941,2973,27300,30385,"Some College, No Degree",2013
1503,35 to 44 years,3053,48911,54438,2355,31359,34902,"Some College, No Degree",2013
1504,45 to 54 years,2787,58053,64613,2708,37861,42139,"Some College, No Degree",2013
1505,55 to 64 years,2295,59215,65906,2220,34486,38383,"Some College, No Degree",2013
1506,65 years and over,772,48153,53594,633,38896,43291,"Some College, No Degree",2013
1511,Total,15524,40802,45412,15034,26487,29480,"Some College, No Degree",2013
1512,18 to 24 years,3767,15886,17681,3875,11649,12965,"Some College, No Degree",2013
1513,25 to 34 years,3303,40288,44840,2874,25233,28084,"Some College, No Degree",2013
1514,35 to 44 years,2694,50469,56172,2445,30966,34465,"Some College, No Degree",2013
1515,45 to 54 years,2683,55667,61957,2869,35634,39660,"Some College, No Degree",2013
1516,55 to 64 years,2236,54417,60566,2174,35705,39739,"Some College, No Degree",2013
1517,65 years and over,841,39813,44312,797,31338,34879,"Some College, No Degree",2013
1522,Total,15755,41364,46720,15282,25899,29252,"Some College, No Degree",2012
1523,18 to 24 years,3574,13728,15506,4104,11695,13209,"Some College, No Degree",2012
1524,25 to 34 years,3316,38092,43024,2831,24221,27357,"Some College, No Degree",2012
1525,35 to 44 years,2970,50709,57275,2474,31625,35720,"Some College, No Degree",2012
1526,45 to 54 years,2811,57867,65360,2837,35289,39858,"Some College, No Degree",2012
1527,55 to 64 years,2315,57603,65062,2252,36343,41049,"Some College, No Degree",2012
1528,65 years and over,769,38610,43609,783,24257,27398,"Some College, No Degree",2012
1533,Total,15168,40349,46539,15006,25155,29014,"Some College, No Degree",2011
1534,18 to 24 years,3532,13388,15442,3902,10837,12499,"Some College, No Degree",2011
1535,25 to 34 years,3122,37595,43362,2832,24627,28405,"Some College, No Degree",2011
1536,35 to 44 years,2839,50150,57843,2555,30712,35423,"Some College, No Degree",2011
1537,45 to 54 years,2806,55988,64577,2915,34595,39902,"Some College, No Degree",2011
1538,55 to 64 years,2121,55793,64352,2176,32688,37702,"Some College, No Degree",2011
1539,65 years and over,748,39489,45547,627,23973,27651,"Some College, No Degree",2011
